起始时刻,结束时刻,原始开始索引,原始结束索引,运行时间,加速时间,减速时间,怠速时间,匀速时间,运行距离,最大速度,平均速度,行驶速度,速度标准偏差,最大加速度,加速度段平均加速度,最小减速度,减速段平均减速度,加速度标准偏差,怠速时间比,加速时间比,匀速时间比,减速时间比
2017-12-01 20:03:41,2017-12-01 20:05:28,773,880,108,42,34,18,14,765.9982,56.5,24.99814814814815,30.334831460674152,17.326916996781655,1.4444,0.5019761904761905,-1.7222,-0.6184617647058824,0.32737670910311006,0.16666666666666666,0.3888888888888889,0.12962962962962962,0.3148148148148148
2017-12-01 20:05:28,2017-12-01 20:08:38,880,1070,191,44,44,81,22,636.7453,42.0,11.736649214659685,20.566055045871554,12.688603144782158,3.1944,0.5662886363636365,-2.0,-0.5612318181818182,0.4945909788699068,0.42408376963350786,0.23036649214659685,0.11518324607329843,0.23036649214659685
2017-12-01 20:08:38,2017-12-01 20:11:36,1070,1246,177,21,12,128,16,418.0459,40.1,8.334463276836157,30.73333333333333,14.62691319537599,1.8889,0.5211714285714287,-2.0833,-0.886575,0.37379936482404197,0.7231638418079096,0.11864406779661017,0.0903954802259887,0.06779661016949153
2017-12-01 20:11:36,2017-12-01 20:13:19,1246,1349,104,28,24,43,9,334.9536,43.0,11.298076923076923,19.583333333333332,13.224388919163243,2.0556,0.7252071428571429,-2.1111,-0.8437541666666667,0.438901179233179,0.41346153846153844,0.2692307692307692,0.08653846153846154,0.23076923076923078
2017-12-01 20:14:44,2017-12-01 20:15:08,1434,1458,25,8,8,2,7,91.6509,17.0,11.427999999999999,12.986363636363636,6.012800235054102,1.5556,0.6875,-1.7778,-0.67015,0.46784130398489376,0.08,0.32,0.28,0.32
2017-12-01 20:31:30,2017-12-01 20:33:47,1693,1765,73,21,20,17,15,951.0209,50.8,20.5972602739726,27.338181818181816,19.633333139521362,0.8889,0.37697619047619046,-4.1944,-0.761115,0.23824384337220955,0.2328767123287671,0.2876712328767123,0.2054794520547945,0.273972602739726
2017-12-01 20:33:47,2017-12-01 20:35:01,1765,1839,75,25,28,7,15,368.1055,30.1,17.053333333333335,19.08955223880597,9.064071236888388,3.25,0.5733400000000001,-1.4167,-0.5089321428571428,0.6272555068178624,0.09333333333333334,0.3333333333333333,0.2,0.37333333333333335
2017-12-01 20:35:48,2017-12-01 20:37:39,1886,1997,112,47,41,2,22,897.1827,43.0,27.875,28.64220183486238,10.282377998172276,2.1389,0.5200978723404255,-2.9444,-0.5914585365853657,0.3495735889992398,0.017857142857142856,0.41964285714285715,0.19642857142857142,0.36607142857142855
2017-12-01 20:37:39,2017-12-01 20:39:05,1997,2047,51,22,10,4,15,648.5848,37.4,19.874509803921573,21.56595744680851,11.633431877778024,2.1389,0.5530272727272728,-2.2778,-0.61667,0.4320289421321526,0.0784313725490196,0.43137254901960786,0.29411764705882354,0.19607843137254902
2017-12-01 20:39:05,2017-12-01 20:40:15,2047,2111,65,1,2,18,44,34.2692,3.0,1.376923076923077,1.9456521739130441,0.9101458040420692,0.8333,0.8333,-0.5278,-0.40280000000000005,0.0,0.27692307692307694,0.015384615384615385,0.676923076923077,0.03076923076923077
2017-12-01 20:40:15,2017-12-01 20:41:29,2111,2185,75,22,12,32,9,398.8063,42.1,17.594666666666665,31.419047619047618,17.325967804436218,2.4444,0.5340954545454546,-3.1667,-0.9583333333333334,0.5036434136108532,0.4266666666666667,0.29333333333333333,0.12,0.16
