起始时刻,结束时刻,记录数,原始开始索引,原始结束索引,总秒数,怠速秒数,加速秒数,匀速秒数,减速秒数
2017-12-01 20:03:41,2017-12-01 20:05:28,108,773,880,108,18,42,14,34
2017-12-01 20:05:28,2017-12-01 20:08:38,191,880,1070,191,81,44,22,44
2017-12-01 20:08:38,2017-12-01 20:11:36,177,1070,1246,177,128,21,16,12
2017-12-01 20:11:36,2017-12-01 20:13:19,104,1246,1349,104,43,28,9,24
2017-12-01 20:14:44,2017-12-01 20:15:08,25,1434,1458,25,2,8,7,8
2017-12-01 20:31:30,2017-12-01 20:33:47,73,1693,1765,73,17,21,15,20
2017-12-01 20:33:47,2017-12-01 20:35:01,75,1765,1839,75,7,25,15,28
2017-12-01 20:35:48,2017-12-01 20:37:39,112,1886,1997,112,2,47,22,41
2017-12-01 20:37:39,2017-12-01 20:39:05,51,1997,2047,51,4,22,15,10
2017-12-01 20:39:05,2017-12-01 20:40:15,65,2047,2111,65,18,1,44,2
2017-12-01 20:40:15,2017-12-01 20:41:29,75,2111,2185,75,32,22,9,12
2017-12-01 20:41:29,2017-12-01 20:44:06,110,2185,2294,110,30,39,12,29
2017-12-01 20:44:06,2017-12-01 20:46:07,122,2294,2415,122,29,32,26,35
2017-12-01 20:46:07,2017-12-01 20:47:35,85,2415,2499,85,6,27,26,26
2017-12-01 20:50:26,2017-12-01 20:52:25,120,2650,2769,120,66,22,8,24
2017-12-01 20:53:06,2017-12-01 20:53:28,23,2810,2832,23,15,3,2,3
2017-12-01 20:53:31,2017-12-01 20:54:00,30,2835,2864,30,14,4,5,7
2017-12-01 20:54:00,2017-12-01 20:55:25,84,2864,2947,84,17,25,14,28
2017-12-01 20:55:37,2017-12-01 20:59:41,243,2959,3201,243,148,45,12,38
2017-12-01 20:59:41,2017-12-01 21:05:29,349,3201,3549,349,17,116,93,123
2017-12-01 21:05:29,2017-12-01 21:07:16,108,3549,3656,108,63,17,13,15
2017-12-01 21:07:16,2017-12-01 21:08:46,91,3656,3746,91,58,12,9,12
2017-12-01 21:08:46,2017-12-01 21:15:45,293,3746,4038,293,26,75,131,61
2017-12-01 21:15:45,2017-12-01 21:19:25,165,4038,4202,165,7,61,42,55
2017-12-01 21:19:25,2017-12-01 21:21:15,111,4202,4312,111,53,24,13,21
2017-12-01 21:21:15,2017-12-01 21:22:52,98,4312,4409,98,14,30,16,38
2017-12-01 21:22:52,2017-12-01 21:24:47,116,4409,4524,116,15,46,27,28
2017-12-01 21:24:47,2017-12-01 21:28:43,237,4524,4760,237,90,44,63,40
2017-12-01 21:28:43,2017-12-01 21:32:22,180,4760,4939,180,41,53,57,29
2017-12-01 21:32:22,2017-12-01 21:36:23,242,4939,5180,242,21,88,54,79
2017-12-01 21:43:28,2017-12-01 21:47:18,231,5265,5495,231,27,83,61,60
2017-12-01 21:47:18,2017-12-01 21:50:50,213,5495,5707,213,82,51,34,46
2017-12-01 21:50:50,2017-12-01 21:58:43,474,5707,6180,474,10,171,146,147
2017-12-01 21:58:43,2017-12-01 22:04:38,356,6180,6535,356,156,88,50,62
2017-12-01 22:04:38,2017-12-01 22:07:14,112,6535,6646,112,22,44,21,25
2017-12-01 22:07:14,2017-12-01 22:09:39,146,6646,6791,146,82,21,19,24
2017-12-01 22:10:21,2017-12-01 22:10:58,38,6833,6870,38,4,14,6,14
2017-12-01 22:10:58,2017-12-01 22:11:48,49,6870,6918,49,10,13,9,17
2017-12-01 22:11:48,2017-12-01 22:12:15,28,6918,6945,28,14,5,3,6
2017-12-01 22:12:15,2017-12-01 22:13:29,75,6945,7019,75,4,24,24,23
