起始时刻,结束时刻,原始开始索引,原始结束索引,运行时间,加速时间,减速时间,怠速时间,匀速时间,运行距离,最大速度,平均速度,行驶速度,速度标准偏差,最大加速度,加速度段平均加速度,最小减速度,减速段平均减速度,加速度标准偏差,怠速时间比,加速时间比,匀速时间比,减速时间比,簇号
2017-12-18 13:42:13,2017-12-18 13:43:21,0,68,69,26,19,8,16,131.8741,17.4,6.918840579710144,7.956666666666666,5.273833167918278,1.25,0.4252076923076923,-1.8611,-0.581878947368421,0.2425197673148759,0.11594202898550725,0.37681159420289856,0.2318840579710145,0.2753623188405797,0
2017-12-18 13:43:21,2017-12-18 13:49:30,68,437,370,111,86,97,76,2729.8356,56.5,26.113783783783784,35.52242647058824,18.499121762110327,1.0833,0.3821333333333333,-2.1944,-0.4941779069767442,0.22759362602248026,0.2621621621621621,0.3,0.20540540540540544,0.23243243243243245,2
2017-12-18 13:49:30,2017-12-18 13:51:29,437,556,120,48,35,24,13,699.4778,45.2,20.258333333333333,25.589473684210528,14.252398196154099,1.1944,0.4438645833333334,-2.2222,-0.6198342857142858,0.273211088595865,0.2,0.4,0.10833333333333334,0.2916666666666667,3
2017-12-18 13:51:29,2017-12-18 13:55:07,556,774,219,61,41,73,44,1677.3246,55.0,27.18630136986301,41.0606896551724,22.823852695233413,1.6944,0.3784163934426229,-1.8333,-0.5677463414634146,0.2704161775118296,0.3333333333333333,0.2785388127853881,0.2009132420091324,0.1872146118721461,2
2017-12-18 13:55:07,2017-12-18 13:57:57,774,944,171,51,36,34,50,1889.7254,68.7,39.05029239766082,49.1,25.748574773279728,2.2222,0.4722156862745098,-2.3056,-0.6736055555555557,0.3972493239126023,0.19883040935672516,0.2982456140350877,0.29239766081871343,0.21052631578947367,3
2017-12-18 13:57:57,2017-12-18 14:01:37,944,1164,221,92,54,40,35,1833.5215,65.5,29.793665158371038,36.58,19.991917813686356,1.4722,0.422708695652174,-3.1944,-0.7227388888888889,0.2742700781123061,0.18099547511312214,0.41628959276018107,0.1583710407239819,0.2443438914027149,3
2017-12-18 14:01:37,2017-12-18 14:10:00,1164,1598,435,186,104,53,92,6127.3886,81.5,45.565747126436776,52.02388451443569,23.579993259155234,1.1389,0.38904086021505374,-2.75,-0.5723798076923077,0.2337919221486464,0.12183908045977013,0.42758620689655175,0.2114942528735632,0.2390804597701149,1
2017-12-18 14:10:00,2017-12-18 14:15:34,1598,1887,290,130,80,39,41,3427.9725,65.9,35.6848275862069,41.22948207171314,20.67781128959146,1.2222,0.4262769230769231,-2.9167,-0.75243375,0.2251843470603625,0.13448275862068965,0.4482758620689655,0.1413793103448276,0.27586206896551724,3
2017-12-18 14:15:34,2017-12-18 14:18:51,1887,2082,196,80,44,46,26,1616.2013,60.9,29.10408163265306,38.28456375838926,20.79186684366231,3.4722,0.4666650000000001,-2.25,-0.8775204545454546,0.4154176562680509,0.2346938775510204,0.4081632653061225,0.1326530612244898,0.22448979591836732,3
2017-12-18 14:19:09,2017-12-18 14:20:53,2100,2204,105,35,25,35,10,354.6083,32.4,11.855238095238096,18.04057971014493,11.576509545630465,0.9167,0.4500028571428572,-2.3611,-0.62778,0.2272614204542662,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.2380952380952381,0
2017-12-18 14:20:53,2017-12-18 14:23:30,2204,2361,158,53,41,48,16,1049.1656,53.5,23.653797468354426,34.287155963302745,20.07458905220156,1.9167,0.4423509433962264,-2.1667,-0.5704658536585365,0.3373961404996993,0.3037974683544304,0.3354430379746836,0.10126582278481013,0.25949367088607594,3
2017-12-18 14:23:30,2017-12-18 14:24:36,2361,2427,67,31,23,4,9,466.0588,43.7,24.756716417910447,26.75322580645161,13.346900944125647,2.1389,0.5044870967741936,-1.8889,-0.6847869565217392,0.3580431759270898,0.059701492537313425,0.4626865671641791,0.13432835820895522,0.34328358208955223,3
2017-12-18 14:24:36,2017-12-18 14:28:05,2427,2634,208,79,61,39,29,1758.4758,42.5,25.75240384615385,31.88392857142857,15.081469385682864,1.3333,0.38572278481012656,-1.8056,-0.4867967213114754,0.272378323316409,0.1875,0.3798076923076923,0.13942307692307693,0.2932692307692308,3
2017-12-18 14:28:05,2017-12-18 14:29:16,2634,2705,72,23,25,13,11,322.9631,27.4,14.402777777777779,17.879310344827584,9.076901069216538,1.3056,0.4891304347826085,-1.4444,-0.4511080000000001,0.3270406388908969,0.18055555555555555,0.3194444444444444,0.1527777777777778,0.3472222222222222,0
2017-12-18 14:29:16,2017-12-18 14:29:37,2705,2726,22,8,6,7,1,54.0568,17.2,6.922727272727273,10.878571428571426,6.7970534104812685,1.6944,0.614575,-1.3889,-0.8194500000000001,0.5806759208026453,0.3181818181818182,0.3636363636363637,0.045454545454545456,0.2727272727272727,0
2017-12-18 14:29:37,2017-12-18 14:31:21,2726,2830,105,32,33,25,15,426.2119,30.8,14.1,18.740506329113927,10.408031292449854,1.4167,0.426209375,-0.9167,-0.40404545454545454,0.3108979464954387,0.2380952380952381,0.3047619047619048,0.14285714285714285,0.3142857142857143,0
2017-12-18 14:31:21,2017-12-18 14:32:00,2830,2869,40,2,5,27,6,29.6128,5.0,0.985,3.030769230769231,1.7294656059174118,1.2222,0.66665,-0.4722,-0.29444000000000004,0.785666344576373,0.675,0.05,0.15,0.125,0
2017-12-18 14:32:37,2017-12-18 14:33:17,2906,2946,41,11,11,11,8,67.5006,13.2,4.6951219512195115,6.637931034482759,4.769641035733832,1.4722,0.4646454545454545,-1.1389,-0.4621090909090909,0.4110889644922041,0.2682926829268293,0.2682926829268293,0.1951219512195122,0.2682926829268293,0
