起始时刻,结束时刻,原始开始索引,原始结束索引,运行时间,加速时间,减速时间,怠速时间,匀速时间,运行距离,最大速度,平均速度,行驶速度,速度标准偏差,最大加速度,加速度段平均加速度,最小减速度,减速段平均减速度,加速度标准偏差,怠速时间比,加速时间比,匀速时间比,减速时间比
2017-11-01 19:44:34,2017-11-01 19:47:03,639,788,150,17,16,111,6,134.3208,11.8,1.942666666666666,7.668421052631577,3.534154478049928,1.25,0.4215705882352941,-1.3611,-0.43749375,0.2851752986425759,0.74,0.11333333333333333,0.04,0.10666666666666667
2017-11-01 19:47:24,2017-11-01 19:47:46,809,831,23,9,7,4,3,49.8636,13.2,6.4,8.177777777777779,5.030904491242107,1.1111,0.4382555555555555,-0.8889,-0.5515857142857142,0.35944182113073286,0.17391304347826086,0.391304347826087,0.13043478260869565,0.30434782608695654
2017-11-01 19:57:55,2017-11-01 20:01:44,1126,1355,230,60,66,58,46,1217.4147,36.7,18.785652173913046,25.2672514619883,13.073708182557878,1.8333,0.33842666666666665,-1.25,-0.31565757575757575,0.2829250130434736,0.25217391304347825,0.2608695652173913,0.2,0.28695652173913044
2017-11-02 10:28:30,2017-11-02 10:50:23,1622,2763,1142,329,280,180,353,21110.2788,84.7,53.967600700525395,64.1321540062435,28.149635553468418,3.7222,0.30918358662613976,-2.3056,-0.37281499999999995,0.3160880820980348,0.15761821366024517,0.28809106830122594,0.30910683012259194,0.24518388791593695
2017-11-02 10:50:23,2017-11-02 10:51:01,2763,2801,39,8,4,24,3,35.6532,12.2,2.6128205128205124,7.278571428571428,4.164839005366328,0.75,0.4236,-1.1667,-0.8403,0.2170838481851129,0.6153846153846154,0.20512820512820512,0.07692307692307693,0.10256410256410256
2017-11-02 11:27:28,2017-11-02 11:31:36,3382,3521,140,47,68,1,24,10719.5722,61.8,38.87285714285714,39.43623188405797,15.172769260415343,2.8611,0.8534234042553192,-5.7778,-0.9035897058823529,0.8147430689201207,0.007142857142857143,0.3357142857142857,0.17142857142857143,0.4857142857142857
2017-11-02 11:31:52,2017-11-02 11:32:41,3535,3580,46,20,12,7,7,302.9686,35.6,21.821739130434786,26.415789473684214,12.569679798688028,1.6944,0.440265,-2.3056,-0.856475,0.4137978457309546,0.15217391304347827,0.43478260869565216,0.15217391304347827,0.2608695652173913
2017-11-02 11:35:20,2017-11-02 11:35:45,3732,3757,26,2,2,18,4,21.6188,2.2,0.5192307692307693,1.9285714285714286,0.8845424719115441,0.5,0.3472,-0.4444,-0.27775,0.21609183233060894,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.07692307692307693
2017-11-02 11:35:45,2017-11-02 11:44:03,3757,4159,403,132,116,59,96,6456.7085,71.9,40.5727047146402,47.669970845481046,22.0621758077663,3.75,0.42087499999999994,-3.3611,-0.5162862068965517,0.4451093522687422,0.14640198511166252,0.32754342431761785,0.23821339950372208,0.2878411910669975
2017-11-02 11:44:03,2017-11-02 11:47:14,4159,4350,192,81,79,3,29,2025.5291,61.7,36.69375,37.27619047619048,15.08941109603456,3.3889,0.5435530864197531,-2.1667,-0.5583708860759494,0.4367384698210188,0.015625,0.421875,0.15104166666666666,0.4114583333333333
